scheme_name,category,eligibility,benefit,how_to_apply,official_link,state
PM Kisan Samman Nidhi,Farming,Farmers with landholding,Rs 6000 per year in 3 installments,Apply at pmkisan.gov.in or nearest CSC centre,https://pmkisan.gov.in,All India
Ayushman Bharat PM-JAY,Health,Families in SECC database and poor families,Rs 5 lakh health insurance per year,Apply at nearest government hospital or CSC,https://pmjay.gov.in,All India
PM Awas Yojana Gramin,Housing,BPL families in rural areas,Free pucca house construction,Apply at Gram Panchayat office,https://pmayg.nic.in,All India
PM Awas Yojana Urban,Housing,EWS and LIG families in urban areas,Home loan subsidy up to Rs 2.67 lakh,Apply at nearest bank or ULB office,https://pmaymis.gov.in,All India
National Scholarship Portal,Education,Students from Class 1 to PhD with family income below 8 lakh,Scholarship up to Rs 75000 per year,Apply at scholarships.gov.in,https://scholarships.gov.in,All India
PM MUDRA Yojana,Business,Small business owners and entrepreneurs,Business loan up to Rs 10 lakh without collateral,Apply at nearest bank or NBFC,https://mudra.org.in,All India
Sukanya Samriddhi Yojana,Women,Parents of girl child below 10 years,High interest savings scheme for girl education and marriage,Open account at post office or bank,https://www.india.gov.in/sukanya-samriddhi-account,All India
Beti Bachao Beti Padhao,Women,Girl child families especially in low sex ratio districts,Education support and awareness programs,Contact district collector office,https://wcd.nic.in/bbbp-schemes,All India
PM Ujjwala Yojana,Women,BPL women who dont have LPG connection,Free LPG gas connection,Apply at nearest LPG distributor with Aadhaar and BPL card,https://pmuy.gov.in,All India
Atal Pension Yojana,Business,Workers between 18 to 40 years in unorganised sector,Monthly pension of Rs 1000 to 5000 after age 60,Apply at nearest bank with Aadhaar and savings account,https://npscra.nsdl.co.in,All India
Stand Up India,Business,SC ST and women entrepreneurs,Business loan from Rs 10 lakh to 1 crore,Apply at nearest bank branch,https://www.standupmitra.in,All India
PM Fasal Bima Yojana,Farming,Farmers growing notified crops,Crop insurance against natural disasters,Apply at nearest bank or CSC before crop season,https://pmfby.gov.in,All India
Kisan Credit Card,Farming,Farmers with land ownership documents,Credit up to Rs 3 lakh for farming needs at low interest,Apply at nearest bank with land documents,https://www.nabard.org,All India
National Rural Livelihood Mission,Business,Rural poor women,Self help group formation and livelihood support up to Rs 15 lakh,Contact nearest Block Development Office,https://aajeevika.gov.in,All India
Pradhan Mantri Kaushal Vikas Yojana,Education,Youth between 15 to 45 years,Free skill training and Rs 8000 reward on completion,Register at pmkvyofficial.org,https://pmkvyofficial.org,All India
Startup India Scheme,Business,New startups registered in India,Tax benefits for 3 years fund of funds and faster patent filing,Register at startupindia.gov.in,https://startupindia.gov.in,All India
Post Matric Scholarship SC Students,Education,SC students studying Class 11 and above with family income below 2.5 lakh,Full tuition fee and maintenance allowance,Apply at scholarships.gov.in,https://scholarships.gov.in,All India
Post Matric Scholarship OBC Students,Education,OBC students studying Class 11 and above with family income below 1 lakh,Tuition fee and maintenance allowance,Apply at scholarships.gov.in,https://scholarships.gov.in,All India
National Means Cum Merit Scholarship,Education,Class 8 students with family income below 1.5 lakh per year,Rs 12000 per year for Class 9 to 12,Apply through school principal at scholarships.gov.in,https://scholarships.gov.in,All India
Pradhan Mantri Matru Vandana Yojana,Women,Pregnant women and lactating mothers for first child,Rs 5000 cash benefit in 3 installments,Apply at nearest Anganwadi centre,https://pmmvy.wcd.gov.in,All India
Aadhaar Enabled Public Distribution,Health,BPL ration card holders,Subsidised food grains wheat and rice,Apply at nearest ration shop with Aadhaar,https://nfsa.gov.in,All India
Swachh Bharat Mission,Housing,BPL households without toilet,Rs 12000 for toilet construction,Apply at Gram Panchayat office,https://swachhbharatmission.gov.in,All India
PM Garib Kalyan Anna Yojana,Health,All Antyodaya and priority household ration card holders,5 kg free food grains per person per month,Automatic through ration card at ration shop,https://nfsa.gov.in,All India
Deen Dayal Upadhyaya Grameen Kaushalya Yojana,Education,Rural youth between 15 to 35 years BPL families,Free residential skill training and guaranteed placement,Contact nearest District Program Coordinator,https://ddugky.gov.in,All India
PM Jan Dhan Yojana,Business,All Indian citizens especially unbanked poor,Zero balance bank account with RuPay debit card and Rs 2 lakh accident insurance,Apply at nearest bank with Aadhaar,https://pmjdy.gov.in,All India
Soil Health Card Scheme,Farming,All farmers,Free soil testing and recommendations for better crop yield,Contact nearest Krishi Vigyan Kendra or agriculture office,https://soilhealth.dac.gov.in,All India
National Food Security Act,Health,75 percent rural and 50 percent urban population,Subsidised food grains at Rs 1 to 3 per kg,Automatic through state government ration card,https://nfsa.gov.in,All India
Mahatma Gandhi NREGA,Farming,Rural households willing to do unskilled manual work,100 days guaranteed wage employment at minimum wages,Apply at Gram Panchayat with job card,https://nrega.nic.in,All India
PM Suraksha Bima Yojana,Health,Bank account holders between 18 to 70 years,Rs 2 lakh accident death insurance at only Rs 20 per year,Apply at bank where you have savings account,https://jansuraksha.gov.in,All India
PM Jeevan Jyoti Bima Yojana,Health,Bank account holders between 18 to 50 years,Rs 2 lakh life insurance at only Rs 436 per year,Apply at bank where you have savings account,https://jansuraksha.gov.in,All India
